AS400,,,,BI,,,,,,,
13968,20906CCD,,,13968,20906CCD,,0.00,,,,
172735.68,20912SBY,,,172735.68,20912SBY,,0.00,,,,
41772,20938BNK,,,41772,20938BNK,,0.00,,,,
241348.8,20970WCP,,,241348.8,20970WCP,,0.00,,,,
3291.03,20999SBY,,,3291.03,20999SBY,,0.00,,,,
0,21000CCD,,,0,21000CCD,,0.00,,,,
146548.16,21005JIB,,,146548.16,21005JIB,,0.00,,,,
6412.5,21007WHA,,,6412.5,21007WHA,,0.00,,,,
385884.1,21009JIB,,,385884.1,21009JIB,,0.00,,,,
46070,21011JIB,,,46070,21011JIB,,0.00,,,,
12110.13,21012JIB,,,12110.13,21012JIB,,0.00,,,,
43689.6,21014JIB,,,43689.6,21014JIB,,0.00,,,,
8000,21058HSD,,,8000,21058HSD,,0.00,,,,
31752,21060BSC,,,31752,21060BSC,,0.00,,,,
32256,21068VEN,,,32256,21068VEN,,0.00,,,,
27206.4,21076BFT,,,27206.4,21076BFT,,0.00,,,,
14025,21077LIT,,,14025,21077LIT,,0.00,,,,
5400,21086VEN,,,5400,21086VEN,,0.00,,,,
376320,21108PHI,,,376320,21108PHI,,0.00,,,,
329278.8,21130PHI,,,329278.8,21130PHI,,0.00,,,,
69408,21142BNK,,,69408,21142BNK,,0.00,,,,
39008,21144BNK,,,39008,21144BNK,,0.00,,,,
55392,21145BNK,,,55392,21145BNK,,0.00,,,,
130577.52,21149WEN,,,130577.52,21149WEN,,0.00,,,,
475894.62,21156SBY,,,475894.62,21156SBY,,0.00,,,,
5273.25,21157SBY,,,5273.25,21157SBY,,0.00,,,,
840421.02,21158SBY,,,840421.02,21158SBY,,0.00,,,,
813479.67,21159SBY,,,813479.67,21159SBY,,0.00,,,,
49670.4,21165PNA,,,49670.4,21165PNA,,0.00,,,,
238867.2,21166PNA,,,238867.2,21166PNA,,0.00,,,,
316170.8,21170PNA,,,316170.8,21170PNA,,0.00,,,,
115080,21171PNA,,,115080,21171PNA,,0.00,,,,
89460,21173PNA,,,89460,21173PNA,,0.00,,,,
83404.8,21174PNA,,,83404.8,21174PNA,,0.00,,,,
39150.15,21175PNA,,,39150.15,21175PNA,,0.00,,,,
3566.68,21185SBY,,,3566.68,21185SBY,,0.00,,,,
13284,21194PJN,,,13284,21194PJN,,0.00,,,,
44000,21200PJN,,,44000,21200PJN,,0.00,,,,
13200,21201PJC,,,13200,21201PJC,,0.00,,,,
1271700,21201PJN,,,1271700,21201PJN,,0.00,,,,
93205,21212CRH,,,93205,21212CRH,,0.00,,,,
401800,21224PHI,,,401800,21224PHI,,0.00,,,,
325500,21225PHI,,,325500,21225PHI,,0.00,,,,
17150,21232PJN,,,17150,21232PJN,,0.00,,,,
21168,21233PJN,,,21168,21233PJN,,0.00,,,,
70848,21245WHA,,,70848,21245WHA,,0.00,,,,
12200,21259PJN,,,12200,21259PJN,,0.00,,,,
11820,21260PJN,,,11820,21260PJN,,0.00,,,,
27648,21270WHA,,,27648,21270WHA,,0.00,,,,
64948.5,21276PNA,,,64948.5,21276PNA,,0.00,,,,
82944,21280PNA,,,82944,21280PNA,,0.00,,,,
5871,21311SBY,,,5871,21311SBY,,0.00,,,,
48207.6,21318TCB,,,48207.6,21318TCB,,0.00,,,,
59904,21319PJN,,,59904,21319PJN,,0.00,,,,
15500,21320PJN,,,15500,21320PJN,,0.00,,,,
146940,21356WST,,,146940,21356WST,,0.00,,,,
213.6,21363SBY,,,213.6,21363SBY,,0.00,,,,
260832,21370JIB,,,260832,21370JIB,,0.00,,,,
55699.8,21376SON,,,55699.8,21376SON,,0.00,,,,
49766.4,21378PPP,,,49766.4,21378PPP,,0.00,,,,
9168,21383BNK,,,9168,21383BNK,,0.00,,,,
396,21395BNK,,,396,21395BNK,,0.00,,,,
1569472,21403WEN,,,1569472,21403WEN,,0.00,,,,
220,21479GND,,,220,21479GND,,0.00,,,,
136150,21485POP,,,136150,21485POP,,0.00,,,,
169808,21490PHI,,,169808,21490PHI,,0.00,,,,
30240,21504PJN,,,30240,21504PJN,,0.00,,,,
25550,21507PJN,,,25550,21507PJN,,0.00,,,,
129600,21508PJN,,,129600,21508PJN,,0.00,,,,
18264,21509PJN,,,18264,21509PJN,,0.00,,,,
74613,21513PJN,,,74613,21513PJN,,0.00,,,,
21057.6,21520JIB,,,21057.6,21520JIB,,0.00,,,,
6789.6,21526LJS,,,6789.6,21526LJS,,0.00,,,,
370.44,21527LJS,,,370.44,21527LJS,,0.00,,,,
17010,21528JIB,,,17010,21528JIB,,0.00,,,,
0,21530LJS,,,0,21530LJS,,0.00,,,,
137770.2,21531LJS,,,137770.2,21531LJS,,0.00,,,,
432,21532JIB,,,432,21532JIB,,0.00,,,,
70680,21534LJS,,,70680,21534LJS,,0.00,,,,
6760,21538LJS,,,6760,21538LJS,,0.00,,,,
0,21545POP,,,0,21545POP,,0.00,,,,
369180,21547GNS,,,369180,21547GNS,,0.00,,,,
20940,21549GNS,,,20940,21549GNS,,0.00,,,,
169.8,21553MRE,,,169.8,21553MRE,,0.00,,,,
31752,21593JIB,,,31752,21593JIB,,0.00,,,,
756630,21600BLU,,,756630,21600BLU,,0.00,,,,
14525,21602GNS,,,14525,21602GNS,,0.00,,,,
48743.24,21636TCB,,,48743.24,21636TCB,,0.00,,,,
47002.41,21637TCB,,,47002.41,21637TCB,,0.00,,,,
106190.63,21638TCB,,,106190.63,21638TCB,,0.00,,,,
27853.28,21643TCB,,,27853.28,21643TCB,,0.00,,,,
2640,21662FOF,,,2640,21662FOF,,0.00,,,,
192,21666CEP,,,192,21666CEP,,0.00,,,,
576,21668FOF,,,576,21668FOF,,0.00,,,,
90,21669FOT,,,90,21669FOT,,0.00,,,,
10320,21670FOT,,,10320,21670FOT,,0.00,,,,
-16,21676GFG,,,-16,21676GFG,,0.00,,,,
17504,21677GFG,,,17504,21677GFG,,0.00,,,,
142944,21678GFG,,,142944,21678GFG,,0.00,,,,
4480,21705LGN,,,4480,21705LGN,,0.00,,,,
1715,21706LGN,,,1715,21706LGN,,0.00,,,,
159194,21755SON,,,159194,21755SON,,0.00,,,,
206411.1,21756SON,,,206411.1,21756SON,,0.00,,,,
0,21773WEN,,,0,21773WEN,,0.00,,,,
7276.5,21774CCD,,,7276.5,21774CCD,,0.00,,,,
32273,21775CCD,,,32273,21775CCD,,0.00,,,,
19040,21778CCD,,,19040,21778CCD,,0.00,,,,
6370,21780CCD,,,6370,21780CCD,,0.00,,,,
1666,21782CCD,,,1666,21782CCD,,0.00,,,,
1568,21783CCD,,,1568,21783CCD,,0.00,,,,
2016,21785CAB,,,2016,21785CAB,,0.00,,,,
-1792,21786CAB,,,-1792,21786CAB,,0.00,,,,
13085.28,21792SON,,,13085.28,21792SON,,0.00,,,,
18007.5,21793TGI,,,18007.5,21793TGI,,0.00,,,,
12768,21796CCD,,,12768,21796CCD,,0.00,,,,
0,21799BRK,,,0,21799BRK,,0.00,,,,
0,21800BRK,,,0,21800BRK,,0.00,,,,
0,21818GFK,,,0,21818GFK,,0.00,,,,
558921.6,21819CCD,,,558921.6,21819CCD,,0.00,,,,
0,21820CCD,,,0,21820CCD,,0.00,,,,
19404.42,21831SON,,,19404.42,21831SON,,0.00,,,,
14515.2,21846CAB,,,14515.2,21846CAB,,0.00,,,,
230496,21851CCD,,,230496,21851CCD,,0.00,,,,
7821,21926SON,,,7821,21926SON,,0.00,,,,
201.5,21928CPK,,,201.5,21928CPK,,0.00,,,,
123136,21929TGI,,,123136,21929TGI,,0.00,,,,
110014.4,21941CFA,,,110014.4,21941CFA,,0.00,,,,
0,21972ARB,,,0,21972ARB,,0.00,,,,
23593.06,21989SON,,,23593.06,21989SON,,0.00,,,,
0,21996WCK,,,0,21996WCK,,0.00,,,,
0,22006ARB,,,0,22006ARB,,0.00,,,,
169160.04,22008SON,,,169160.04,22008SON,,0.00,,,,
40449.41,22009SON,,,40449.41,22009SON,,0.00,,,,
0,22012GFG,,,0,22012GFG,,0.00,,,,
52000,22029PJN,,,52000,22029PJN,,0.00,,,,
377395.2,22037REO,,,377395.2,22037REO,,0.00,,,,
169576,22039YUM,,,169576,22039YUM,,0.00,,,,
14400,22041SHE,,,14400,22041SHE,,0.00,,,,
7650,22042SHE,,,7650,22042SHE,,0.00,,,,
50050,22053POP,,,50050,22053POP,,0.00,,,,
114944,22065POT,,,114944,22065POT,,0.00,,,,
0,22094WCK,,,0,22094WCK,,0.00,,,,
2965.12,22095SON,,,2825,22095SON,,140.12,,,,
2228.4,22102WHA,,,2228.4,22102WHA,,0.00,,,,
119456,22103PJN,,,119456,22103PJN,,0.00,,,,
166720,22104PJN,,,166720,22104PJN,,0.00,,,,
-1792,22132CAB,,,-1792,22132CAB,,0.00,,,,
1974.08,22160GNS,,,1974.08,22160GNS,,0.00,,,,
189630,22166CIC,,,189630,22166CIC,,0.00,,,,
-1638,22175GNS,,,-1638,22175GNS,,0.00,,,,
28656,22181JIB,,,28656,22181JIB,,0.00,,,,
37888,22182TGI,,,37888,22182TGI,,0.00,,,,
8640,22188WHA,,,8640,22188WHA,,0.00,,,,
10368,22190WHA,,,10368,22190WHA,,0.00,,,,
356952,22242DEN,,,356952,22242DEN,,0.00,,,,
182427,22250BEF,,,182427,22250BEF,,0.00,,,,
27480,22281VEN,,,27480,22281VEN,,0.00,,,,
297360,22347WAF,,,297360,22347WAF,,0.00,,,,
2688,22354CAB,,,2688,22354CAB,,0.00,,,,
2094.84,22355SLF,,,2094.84,22355SLF,,0.00,,,,
2797423.2,22370BRK,,,2797423.2,22370BRK,,0.00,,,,
3625.16,22435PNA,,,3625.16,22435PNA,,0.00,,,,
91845.6,22436CCD,,,91845.6,22436CCD,,0.00,,,,
16592,22439PNA,,,16592,22439PNA,,0.00,,,,
17936,22444PNA,,,17936,22444PNA,,0.00,,,,
608,22456PNA,,,608,22456PNA,,0.00,,,,
608,22461PNA,,,608,22461PNA,,0.00,,,,
4251.36,22482SON,,,4251.36,22482SON,,0.00,,,,
121100,22497TAC,,,121100,22497TAC,,0.00,,,,
448,22511PNA,,,448,22511PNA,,0.00,,,,
39150,22512TXR,,,39150,22512TXR,,0.00,,,,
2738.8,22547SON,,,2738.8,22547SON,,0.00,,,,
2313,22574JIB,,,2313,22574JIB,,0.00,,,,
59184,22576WHA,,,59184,22576WHA,,0.00,,,,
342,22589JIB,,,342,22589JIB,,0.00,,,,
558.93,22590SON,,,558.93,22590SON,,0.00,,,,
525,40013MFY,,,525,40013MFY,,0.00,,,,
23450,40025MFY,,,23450,40025MFY,,0.00,,,,
161000,45531BEF,,,161000,45531BEF,,0.00,,,,
2564555,45531CHP,,,2564555,45531CHP,,0.00,,,,
52500,45531CRH,,,52500,45531CRH,,0.00,,,,
914375,45531GFG,,,914375,45531GFG,,0.00,,,,
233100,45531OPR,,,233100,45531OPR,,0.00,,,,
1695750,45531SON,,,1695750,45531SON,,0.00,,,,
1026200,45531TXR,,,1026200,45531TXR,,0.00,,,,
662900,45531UBA,,,662900,45531UBA,,0.00,,,,
662060,45532BNK,,,662060,45532BNK,,0.00,,,,
361655,45532CHP,,,361655,45532CHP,,0.00,,,,
4795,45610CHP,,,4795,45610CHP,,0.00,,,,
126000,45635BEF,,,126000,45635BEF,,0.00,,,,
40180,45635CHP,,,40180,45635CHP,,0.00,,,,
15802.5,45812SAV,,,15802.5,45812SAV,,0.00,,,,
268.75,47277LND,,,268.75,47277LND,,0.00,,,,
11828.6,47434BAK,,,11828.6,47434BAK,,0.00,,,,
27832,47435BAK,,,27832,47435BAK,,0.00,,,,
29820,47455BAK,,,29820,47455BAK,,0.00,,,,
2813,47495BAK,,,2813,47495BAK,,0.00,,,,
2211.84,52007CHP,,,2211.84,52007CHP,,0.00,,,,
61608.96,54107CHP,,,61608.96,54107CHP,,0.00,,,,
20160,54110BNK,,,20160,54110BNK,,0.00,,,,
14420,54110CHP,,,14420,54110CHP,,0.00,,,,
108430,54135CHP,,,108430,54135CHP,,0.00,,,,
163800,54135CIC,,,163800,54135CIC,,0.00,,,,
106680,54135GFG,,,106680,54135GFG,,0.00,,,,
749700,54135LIT,,,749700,54135LIT,,0.00,,,,
1308300,54135PAD,,,1308300,54135PAD,,0.00,,,,
1553230,54135PFC,,,1553230,54135PFC,,0.00,,,,
201600,54135TXR,,,201600,54135TXR,,0.00,,,,
52346.88,56606CHP,,,52346.88,56606CHP,,0.00,,,,
19110,58500CHP,,,19110,58500CHP,,0.00,,,,
5137.92,58501CHP,,,5137.92,58501CHP,,0.00,,,,
366100,58505CCF,,,366100,58505CCF,,0.00,,,,
11585,58505CHP,,,11585,58505CHP,,0.00,,,,
19958.4,71008VEN,,,19958.4,71008VEN,,0.00,,,,
25032,71264VEN,,,25032,71264VEN,,0.00,,,,
1915.2,71307VEN,,,1915.2,71307VEN,,0.00,,,,
22056.48,71531OPR,,,22056.48,71531OPR,,0.00,,,,
832.32,71531VEN,,,832.32,71531VEN,,0.00,,,,
4680,71783GOR,,,4680,71783GOR,,0.00,,,,
17342,72048VEN,,,17342,72048VEN,,0.00,,,,
14976,72133BAK,,,14976,72133BAK,,0.00,,,,
740,77021VEN,,,740,77021VEN,,0.00,,,,
37977.2,77041CHP,,,37977.2,77041CHP,,0.00,,,,
3433.6,77041VEN,,,3433.6,77041VEN,,0.00,,,,
66180,77049CHP,,,66180,77049CHP,,0.00,,,,
430.56,77057VEN,,,430.56,77057VEN,,0.00,,,,
193560,77069CCF,,,193560,77069CCF,,0.00,,,,
84600,77069CHP,,,84600,77069CHP,,0.00,,,,
28429.44,77132OPR,,,28429.44,77132OPR,,0.00,,,,
3455.6,77191CHP,,,3455.6,77191CHP,,0.00,,,,
9483.76,77320VEN,,,9483.76,77320VEN,,0.00,,,,
25255.8,77600TCJ,,,25255.8,77600TCJ,,0.00,,,,
3571.2,77651DEN,,,3571.2,77651DEN,,0.00,,,,
546.24,77665VEN,,,546.24,77665VEN,,0.00,,,,
265.8,78883VEN,,,265.8,78883VEN,,0.00,,,,
1419,79502GNS,,,1419,79502GNS,,0.00,,,,
2583,79514WCP,,,2583,79514WCP,,0.00,,,,
3452.4,85505HVR,,,3452.4,85505HVR,,0.00,,,,
5696,85620HVR,,,5696,85620HVR,,0.00,,,,
330.96,85625HVR,,,330.96,85625HVR,,0.00,,,,
512.2,85629HVR,,,512.2,85629HVR,,0.00,,,,
39.4,85636HVR,,,39.4,85636HVR,,0.00,,,,
119.04,89067SLF,,,119.04,89067SLF,,0.00,,,,
968.07,89086SLF,,,61,89086SLF,,907.07,,,,
,,,,,,Diff in LBS,1070.81,,,,
,,,,49,19380-1,,-49.00,,,,
,,,,1,20444-1,,-1.00,,,,
,,,,1688000,25173-1,,-1688000.00,,,,
,,,,779000,29308-1,,-779000.00,,,,
,,,,826648,32714-1,,-826648.00,,DT,BI,Difference
,,,,,,,-3291556.38,,55881747.23,59174373.42,-3292626.19
